Dark imperial blue,203,100,42,0,65,106,#00416A
Dark imperial blue,183,100,40,0,20,126,#6E6EF9
Dark jungle green,162,28,14,26,36,33,#1A2421
Dark khaki,56,43,74,189,183,107,#BDB76B
Dark lava,27,31,28,72,60,50,#483C32
Dark lavender,270,47,59,115,79,150,#734F96
Dark liver,330,10,33,83,75,79,#534B4F
Dark liver (horses),12,35,33,84,61,55,#543D37
Dark magenta,300,100,55,139,0,139,#8B008B
Dark medium gray,0,0,66,169,169,169,#A9A9A9
Dark midnight blue,210,100,40,0,51,102,#003366
Dark moss green,80,62,36,74,93,35,#4A5D23
Dark olive green,82,56,42,85,107,47,#556B2F
Dark orange,33,100,100,255,140,0,#FF8C00
Dark orchid,280,75,80,153,50,204,#9932CC
Dark pastel blue,212,41,80,119,158,203,#779ECB
Dark pastel green,138,98,75,3,192,60,#03C03C
Dark pastel purple,263,48,84,150,111,214,#966FD6
Dark pastel red,9,82,76,194,59,34,#C23B22
Dark pink,342,64,91,231,84,128,#E75480
Dark powder blue,220,100,60,0,51,153,#003399
Dark puce,354,27,31,79,58,60,#4F3A3C
Dark purple,291,51,20,48,25,52,#301934
Dark raspberry,330,72,53,135,38,87,#872657
Dark red,0,100,55,139,0,0,#8B0000
Dark salmon,15,48,91,233,150,122,#E9967A
Dark scarlet,344,97,34,86,3,25,#560319
Dark sea green,120,24,74,143,188,143,#8FBC8F
Dark sienna,0,67,24,60,20,20,#3C1414
Dark sky blue,199,35,84,140,190,214,#8CBED6
Dark slate blue,248,56,55,72,61,139,#483D8B
Dark slate gray,180,41,31,47,79,79,#2F4F4F
Dark spring green,150,80,45,23,114,69,#177245
Dark tan,45,44,57,145,129,81,#918151
Dark tangerine,38,93,100,255,168,18,#FFA812
Dark taupe,27,31,28,72,60,50,#483C32
Dark terra cotta,353,62,80,204,78,92,#CC4E5C
Dark turquoise,181,100,82,0,206,209,#00CED1
Dark vanilla,32,20,82,209,190,168,#D1BEA8
Dark violet,282,100,83,148,0,211,#9400D3
Dark yellow,52,92,61,155,135,12,#9B870C
